2021-07-08 12:40:10.329  INFO 8772 --- [main] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:8888
2021-07-08 12:40:10.376 DEBUG 8772 --- [main] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8888/msa-service-coffee-client/default
2021-07-08 12:40:10.421 DEBUG 8772 --- [main] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2021-07-08 12:40:10.816 DEBUG 8772 --- [main] o.s.web.client.RestTemplate              : Response 404 NOT_FOUND
2021-07-08 12:40:10.821  WARN 8772 --- [main] c.c.c.ConfigServicePropertySourceLocator : Could not locate PropertySource: label not found
2021-07-08 12:40:10.823  INFO 8772 --- [main] c.m.msa.client.MicroServiceApplication   : No active profile set, falling back to default profiles: default
2021-07-08 12:40:11.264  INFO 8772 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=8ded75bc-e8a0-38ea-bb3b-4d013bcb8721
2021-07-08 12:40:11.346  INFO 8772 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$28cb6907] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-07-08 12:40:11.489  WARN 8772 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2021-07-08 12:40:11.490  INFO 8772 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-07-08 12:40:11.495  WARN 8772 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2021-07-08 12:40:11.495  INFO 8772 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-07-08 12:40:12.132  INFO 8772 --- [main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2021-07-08 12:40:12.190  INFO 8772 --- [main] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2021-07-08 12:40:12.343  INFO 8772 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON encoding codec LegacyJacksonJson
2021-07-08 12:40:12.344  INFO 8772 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON decoding codec LegacyJacksonJson
2021-07-08 12:40:12.435  INFO 8772 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML encoding codec XStreamXml
2021-07-08 12:40:12.435  INFO 8772 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML decoding codec XStreamXml
2021-07-08 12:40:12.576  INFO 8772 --- [main] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2021-07-08 12:40:12.644  INFO 8772 --- [main] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2021-07-08 12:40:12.644  INFO 8772 --- [main] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2021-07-08 12:40:12.644  INFO 8772 --- [main] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2021-07-08 12:40:12.644  INFO 8772 --- [main] com.netflix.discovery.DiscoveryClient    : Application is null : false
2021-07-08 12:40:12.644  INFO 8772 --- [main] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2021-07-08 12:40:12.644  INFO 8772 --- [main] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
2021-07-08 12:40:12.644  INFO 8772 --- [main] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2021-07-08 12:40:12.873  INFO 8772 --- [main] com.netflix.discovery.DiscoveryClient    : The response status is 200
2021-07-08 12:40:12.877  INFO 8772 --- [main] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
2021-07-08 12:40:12.880  INFO 8772 --- [main] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2021-07-08 12:40:12.885  INFO 8772 --- [main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1625715612883 with initial instances count: 1
2021-07-08 12:40:12.887  INFO 8772 --- [main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application MSA-SERVICE-COFFEE-CLIENT with eureka with status UP
2021-07-08 12:40:12.888  INFO 8772 --- [main] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1625715612888, current=UP, previous=STARTING]
2021-07-08 12:40:12.890  INFO 8772 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_MSA-SERVICE-COFFEE-CLIENT/192.168.1.100: registering service...
2021-07-08 12:40:12.900  INFO 8772 --- [main] c.m.msa.client.MicroServiceApplication   : Started MicroServiceApplication in 5.02 seconds (JVM running for 6.289)
2021-07-08 12:40:12.903  INFO 8772 --- [Thread-11] o.s.c.n.e.s.EurekaServiceRegistry        : Unregistering application MSA-SERVICE-COFFEE-CLIENT with eureka with status DOWN
2021-07-08 12:40:12.903  WARN 8772 --- [Thread-11] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1625715612903, current=DOWN, previous=UP]
2021-07-08 12:40:12.923  WARN 8772 --- [Thread-11] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2021-07-08 12:40:12.923  INFO 8772 --- [Thread-11] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-07-08 12:40:12.926  INFO 8772 --- [Thread-11] com.netflix.discovery.DiscoveryClient    : Shutting down DiscoveryClient ...
2021-07-08 12:40:12.934  INFO 8772 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_MSA-SERVICE-COFFEE-CLIENT/192.168.1.100 - registration status: 204
2021-07-08 12:40:12.935  INFO 8772 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_MSA-SERVICE-COFFEE-CLIENT/192.168.1.100: registering service...
2021-07-08 12:40:12.970  INFO 8772 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_MSA-SERVICE-COFFEE-CLIENT/192.168.1.100 - registration status: 204
2021-07-08 12:40:12.971  INFO 8772 --- [Thread-11] com.netflix.discovery.DiscoveryClient    : Unregistering ...
2021-07-08 12:40:12.985  INFO 8772 --- [Thread-11] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_MSA-SERVICE-COFFEE-CLIENT/192.168.1.100 - deregister  status: 200
2021-07-08 12:40:12.992  INFO 8772 --- [Thread-11] com.netflix.discovery.DiscoveryClient    : Completed shut down of DiscoveryClient
